,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
99868,201101120013,2011,1,12,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1.0,0,"The attack took place in Kabul, Kabul, Afghanistan.","01/12/2011: On Wednesday morning at around 0800, in Kabul City, Kabul Province, Afghanistan, a militant driving an explosive-laden motorbike, rammed it into a National Directorate for Security (NDS) bus, killing two, including an NDS employee and injuring 27 others, including at least six NDS employees. The specific motive for the attack is unknown; however, the attack took place just a day after the visit of U.S. Vice President Joe Biden to Afghanistan and his meeting with President Hamid Karzai wherein he reassured Washington's long-term commitment to the militancy-plagued nation. The attack caused an unknown amount of property damage and the Taliban claimed responsibility for the attack.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,19,Transportation,99.0,Bus (excluding tourists),National Directorate for Security,A National Directorate for Security (NDS) bus,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,"The specific motive for the attack is unknown; however, the attack took place just a day after the visit of U.S. Vice President Joe Biden to Afghanistan and his meeting with President Hamid Karzai wherein he reassured Washington's long-term commitment to the militancy-plagued nation.",0.0,,,0,1.0,0.0,1.0,10.0,Unknown,,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,A suicide bomber driving a motorcycle borne improvised explosive device was used in the attack.,3.0,0.0,1.0,27.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the bus and motorcycle.,0.0,,,,,,,,,,,,,,,,"The most recent available sources listed the fatalities for this attack from two to eight, so the majority casualty figures have been used in order to preserve statistical accuracy in the database. The available sources listed the injuries for this attack from 27 to 32 to 27, and because no majority figures were reported, the lowest proferred casualty figures were used in order to preserve statistical accuracy in the database.","Abdul Haleem, Yan Liang and Wang Guanqun, ""Taliban Strike on Security Organ Kills Three, Wounds 32 in Kabul,” Xinhua News Agency, January 12, 2011, http://news.xinhuanet.com/english2010/world/2011-01/12/c_13687799.htm.","New York Times, ""Suicide Bomber Strikes Bus in Afghan Capital,"" New York Times, January 12, 2011, http://www.nytimes.com/2011/01/13/world/asia/13afghan.html?adxnnl=1&ref=asia&adxnnlx=1294862460-Vn3JcfSSDuo8qkFZm62wFw.","Jane’s Intelligence, “Suicide Attack Kills Eight Afghan Security Force Personnel in Kabul,” Terrorism Watch Report, Al-Jazeera, January 12, 2011.",ISVG,0,0,0,0,
100084,201101280012,2011,1,28,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1.0,0,The attack took place at the Finest Supermarket in the Wazir Akbar Khan area of Kabul.,"01/28/2011: On Friday, at the Finest Supermarket in the Wazir Akbar Khan area of Kabul city, Kabul province, Afghanistan, a suicide bomber detonated his explosive laden vest after opening fire inside the supermarket with an automatic rifle and throwing three or more grenades into the aisles, killing eight people and wounding six others. The deceased were all Afghan civilians, including a family of six and five of the wounded were foreigners. The nationalities of the foreigners are unknown, but it was reported that two Americans were among the victims; however, this report was not been confirmed. The store was left on fire and the attack caused damage to the store and nearby buildings. Taliban spokesman Zabiullah Mujahid claimed responsibility for the attack, saying that two important French nationals were the main targets of the attack. The suicide attacker was identified as Mohammed Shoaib from North Waziristan, Pakistan. Two other militants involved in the attack were identified as Talib Jan, who had helped organize the attack from inside prison by giving instructions to visitors, and Mohammed Khan, who was suspected of transporting the suicide attacker to the supermarket. Khan has been taken into custody by security officials.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,1,Business,7.0,Retail/Grocery/Bakery,Finest Supermarket,Afghan and foreign civilians were targeted at the Finest Supermarket in Kabul.,4.0,Afghanistan,14.0,Private Citizens & Property,71.0,Race/Ethnicity Identified,,Two French nationals were the intended targets of the attack.,69.0,France,,,,,,,,,Taliban,,,,,,"The specific motive for the attack is unknown; however, Taliban spokesman Zabiullah Mujahid claimed responsibility for the attack, saying that two important French nationals were the main targets of the attack.",0.0,,,0,3.0,1.0,1.0,10.0,Unknown,,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),6.0,Explosives,7.0,Grenade,5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,"A suicide explosive vest, three or more grenades and an automatic rifle were used in the attack.",9.0,0.0,1.0,6.0,,0.0,1,3.0,Minor (likely < $1 million),,The store was left on fire and the attack caused damage to the store and nearby buildings.,0.0,,,,,,,,,,,,,,,,"Taliban spokesman Zabiullah Mujahid claimed responsibility for the attack, saying that two important French nationals were the main targets of the attack. The most recent available sources listed the fatalities for this attack from eight to nine to 14, and the injuries for this attack from six to 15, so the majority casualty figures have been used in order to preserve statistical accuracy in the database. The nationalities of the foreigners are unknown, but it was reported that two Americans were among the victims; however, this report has not been confirmed.","Press TV, ""Blast in Afghan Capital Claims Lives,"" http://www.presstv.ir/detail/162376.html (January 28, 2011).","Rod Nordland and Taimoor Shah, ""Afghan Family Dies in Attack on Market,"" New York Times, January 29, 2011, http://www.nytimes.com/2011/01/30/world/asia/30kabul.html?ref=asia.","Daily Times, ""Suicide Blast Kills Afghan District Governor: Police,"" Agence France Presse, January 11, 2011, http://www.dailytimes.com.pk/default.asp?page=2011\02\11\story_11-2-2011_pg7_33.",ISVG,0,1,1,1,
100322,201102140004,2011,2,14,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1.0,0,"The attack took place at the Kabul City Center shopping mall in Kabul city, Kabul province, Afghanistan.","02/14/2011: On Monday, in Kabul city, Kabul province, Afghanistan, a suicide bomber who was detected before entering the Kabul City Center shopping mall exchanged gunfire with security guards before detonating his improvised explosive vest, which killed three security guards and wounded two others. There were no reports of damage and the Taliban claimed responsibility for the attack.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,2.0,Armed Assault,,,1,Business,7.0,Retail/Grocery/Bakery,Kabul City Center Shopping Mall,The target of the attack was a Kabul City Center shopping mall.,4.0,Afghanistan,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,,Civilians were targeted.,4.0,Afghanistan,,,,,,,,,Taliban,,,,,,The specific motive for the attack is unknown.,0.0,,,0,1.0,0.0,1.0,10.0,Unknown,,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,A suicide improvised explosive vest was used in the attack.,4.0,0.0,1.0,2.0,0.0,0.0,-9,,,,It is unknown if the attack caused any property damage.,0.0,,,,,,,,,,,,,,,,,"Rod Nordland & Alissa J. Rubin, ""Afghan Guards Called Heroes after Thwarting Attack,"" New York Times, February 14, 2011, http://www.nytimes.com/2011/02/15/world/asia/15afghanistan.html?ref=asia.","Jane's Intelligence, ""Suicide Attack Kills Three Security Guards in Afghan Capital,"" Terrorism Watch Report, BBC, February 15, 2011.","Tolo News, ""Five Suicide Bombers Arrested in Kandahar,"" http://www.tolonews.com/en/afghanistan/1872-five-suicide-bombers-arrested-in-kandahar (February 15, 2011).",ISVG,0,0,0,0,
102191,201106280004,2011,6,28,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1.0,0,,"06/28/2011: On Tuesday night, in Kabul, Afghanistan, nine assailants armed with AK-47 rifles stormed the entrance of the Intercontinental Hotel and detonated their improvised explosive devices, killing all nine of the bombers and causing an unknown amount of property damage. Two police officers and eight civilians were killed and eight others were wounded in the attack. The Taliban claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,2.0,Armed Assault,,,1,Business,8.0,Hotel/Resort,,A hotel,4.0,Afghanistan,3.0,Police,25.0,Police Security Forces/Officers,Afghan Law Enforcement.,Police officers were targeted.,4.0,Afghanistan,,,,,,,,,Taliban,,,,,,The specific motive for the attack is unknown.,0.0,,,0,9.0,0.0,1.0,,,,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),5.0,Firearms,5.0,Unknown Gun Type,,,,,,,,,Unknown firearms and improvised explosive devices were used in the attack.,19.0,0.0,9.0,8.0,0.0,0.0,1,4.0,Unknown,,The attack caused an unknown amount of property damage.,0.0,,,,,,,,,,,,,,,,,"Jane's Intelligence, ""Complex Attack Leaves 10 Dead in Afghanistan's Kabul,"" Terrorism Watch Report, Al-Jazeera and Tolo TV, June 29, 2011.","Alissa J. Rubin, ""Raid by Afghan Forces and NATO Ends Attack on Hotel in Kabul,"" New York Times, June 29, 2011, http://www.nytimes.com/2011/06/30/world/asia/30afghanistan.html?_r=1&ref=asia.","Barbara Starr, ""U.S. Drone and Copter, Coalition Snipers Helped Afghans,"" CNN, June 29, 2011, http://www.cnn.com/2011/WORLD/asiapcf/06/29/afghanistan.hotel.coalition.role/index.html.",ISVG,0,0,0,0,
104459,201112060017,2011,12,6,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1.0,0,Outside of the Abul Fazi shrine,"12/6/2011: A suicide bomber detonated his explosive vest outside of the Abul Fazi shrine in Kabul, Kabul, Afghanistan. The attack occurred during the Shiite holiday, Ashoura. At least 55 were killed and at least 134 were wounded. The Pakistani group Lashkar-e-Jhangvi claimed responsibility for the attack, but their actual involvement is unknown. No material damage was reported.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,,,Shiite Shrine,Abul Fazi Shrine,4.0,Afghanistan,,,,,,,,,,,,,,,,,Lashkar-e-Jhangvi,,,,,,"The attack occurred outside of a Shiite shrine during one of the major holidays celebrated.  The group that has claimed responsibility (although those claims are unconfirmed), has been known to carry out similar attacks against Shiites in Pakistan.",1.0,,,0,1.0,0.0,1.0,2.0,Call (post-incident),,,,,,,0.0,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,Suicide bomber wore a suicide vest.,56.0,0.0,1.0,134.0,0.0,0.0,0,,,,No statement made regarding property damage,0.0,,,,,,,,,,,,,,,,The number of reported wounded ranges from 134-150.,"Viola Gienger and Eltaf Najafizada, ""Karzai Skips U.S. Trip as Blasts Spur Fear of Sectarian Violence,"" Bloomburg, December 7, 2011.","Jon Bonne and Saeed Shah, ""Kabul suicide bomb kills at least 55,"" Irish Times, December 7, 2011.","Ali Safi, ""Dozens killed in Kabul suicide attack,"" Seattle Times, December 8, 2011.",START Primary Collection,1,1,0,1,
107046,201204150015,2012,4,15,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,"Attack occurred at the Kabul Star Hotel in Kabul, Kabul Province, Afghanistan","04/15/2012: Assailants attacked the Star Hotel in Kabul city, Kabul province, Afghanistan. This was one of 21 coordinated attacks in Afghanistan on this day, across which 51 people, including 36 assailants, were killed and 74 others wounded. The Haqqani Network claimed responsibility for all of the incidents.",1,1,1,0,,,1.0,1,0,3,Bombing/Explosion,2.0,Armed Assault,,,1,Business,8.0,Hotel/Resort,Star Hotel,Building,4.0,Afghanistan,,,,,,,,,,,,,,,,,Haqqani Network,,,,,,"The Haqqani Network clamed responsibility for the incident and stated that the attack was part of a larger pattern of violence designed to mark the start of the group's spring offensive.  Mujahid claimed that the 18-hour offensive was in revenge for actions by American military forces, including the murder of 17 civilians by a United States (US) soldier and the burning of Korans at a military base.  The spokesperson also claimed the attacks were designed to be a message in direct response to foreign commanders who claimed that the group had lost momentum.",0.0,,,0,-99.0,0.0,1.0,8.0,Personal claim,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,3.0,0.0,2.0,4.0,0.0,,1,4.0,Unknown,-99.0,A hotel was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers represent a division of the total number of those killed across incidents 201204150009, 201204150011, 201204150013, 201204150014, 201204150015, 201204150016, 201204150017, 201204150019, 201204150020, 201204150021, 201204150022, 201204150023, 201204150029, 201204150030, 201204150031, 201204150032, 201204150033, 201204150034, 201204150035, 201204150047, 201204150048, and 201204160018.","""Afghanistan   attackers   take over hotel,   police   say,"" CNN Wire, April 15, 2012.","""Taliban attacks target NATO, Western embassies; Long Planned; Revenge against American troops,"" The Gazette (Montreal), April 16, 2012.","""Complex Attack By Taliban Sends Message To West,"" The New York Times, April 16, 2012.",START Primary Collection,0,1,0,1,"201204150009, 201204150011, 201204150013, 201204150014, 201204150015, 201204150016, 201204150017, 201204150019, 201204150020, 201204150021, 201204150022, 201204150023, 201204150029, 201204150030, 201204150031, 201204150032, 201204150033, 201204150034, 201204150035, 201204150047, 201204150048"
111005,201209180001,2012,9,18,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,,"09/18/2012: A female suicide bomber drove her car into a minibus carrying foreigners who worked at Kabul International Airport in Kabul city, Kabul province, Afghanistan. In addition to the bomber, 12 people died and eight were injured in the attack. Hizb-i-Islami claimed responsibility for the incident, stating that it was in retaliation for an anti-Islamic film made in the United States.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,19,Transportation,99.0,Bus (excluding tourists),Unknown,Bus,4.0,Afghanistan,,,,,,,,,,,,,,,,,Hizb-I-Islami,,,,,,Hizb-l-Islami claimed responsibility for the incident and stated that they attacked the bus in retaliation for an anti-Islam film insulting the Prophet Muhammad that was produced in the United States.,0.0,,,0,1.0,0.0,1.0,2.0,Call (post-incident),,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,A station wagon was used in the attack.,13.0,0.0,1.0,8.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A minibus was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers for this attack conflict across sources. Following GTD protocol, the majority estimates are reported here.","""Suicide attack in Kabul, 10 dead: officials,"" Agence France Presse -- English, September 18, 2012.","""Hezb-i-Islami claims Kabul attack to avenge film: spokesman,"" Agence France Presse -- English, September 18, 2012.","""Suicide bomber kills 12 in Afghan capital,"" Japan Economic Newswire, September 18, 2012.",START Primary Collection,0,0,0,0,
123485,201311160001,2013,11,16,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,,"11/16/2013: A suicide bomber in an explosives-laden vehicle detonated near a compound in Kabul city, Kabul province, Afghanistan. In addition to the bomber at least 13 people, including both civilians and security personnel, were killed and another 29 were injured in the blast. The compound, which was to be used as the venue for the Loya Jirga meeting on November 21, 2013, and surrounding buildings were damaged. The Taliban claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Meeting of Tribal Elders,4.0,Afghanistan,4.0,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Security Force (ANSF),Soldiers,4.0,Afghanistan,,,,,,,,,Taliban,,,,,,"The specific motive is unknown; however, sources speculated that the attack was designed to deter Afghanistan from signing a security pact with the United States.",0.0,,,0,-99.0,0.0,1.0,4.0,E-mail,,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,,14.0,0.0,1.0,29.0,0.0,0.0,1,4.0,Unknown,-99.0,Seventeen vehicles and eighteen shops were damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers for this attack conflict across sources. Following GTD protocol, the majority estimates are reported here.","""Deadly bombing near Kabul compound,"" BBC, November 16, 2013.","""At least 13 killed in Kabul suicide attack,"" Philippines News Agency, November 17, 2013.","""At least 13 killed in Kabul suicide attack,"" Xinhua News Agency, November 17, 2013.",START Primary Collection,0,0,0,0,
126593,201401290018,2014,1,29,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,Incident occurred in Gul Khana Square area,"01/29/2014: An explosive device detonated in the Gul Khana Square area of Kabul city, Kabul province, Afghanistan. At least three people were killed and three others were wounded as a result of the blast. No group claimed responsibility for the incident.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers for this attack conflict across sources. Following GTD protocol, the most reliable estimates are reported here.","""3 of family dead in Kabul explosion,"" Afghanistan Times, January 29, 2014.","""Program Summary: Kandahar Radio Woranga Pashto 1330 GMT 29 January 2014,"" Radio Woranga, January 29, 2014.",,START Primary Collection,-9,-9,0,-9,
129074,201403200005,2014,3,20,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147014,1.0,0,,"03/20/2014: Assailants opened fire on a restaurant in the Serena Hotel in Kabul city, Kabul province, Afghanistan. At least 13 people, including a dual Bangladeshi-United States (US) citizen, a journalist, and four assailants, were killed and six others were wounded in the assault. The Taliban claimed responsibility for the incident.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,1,Business,2.0,Restaurant/Bar/Café,Serena Hotel,Hotel Restaurant,4.0,Afghanistan,10.0,Journalists & Media,56.0,Other (including online news agencies),Agence France Press (AFP),Journalist: Sardar Ahmed,4.0,Afghanistan,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,999.0,Multinational,Taliban,,,,,,,0.0,,,0,4.0,0.0,1.0,8.0,Personal claim,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,"Four small handguns, which were initially concealed in the attackers' socks, were used in the attack.",13.0,1.0,4.0,6.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A hotel was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Four foreigners killed in Taliban attack on Kabul hotel identified,"" Xinhua News Agency, March 21, 2014.","""9 killed in Taliban's hotel attack in Afghan capital: official,"" Xinhua News Agency, March 21, 2014.","""In Afghanistan, Taliban carry out two attacks, raiding hotel, police station, killing at least 18,"" Washington Post, March 21, 2014.",START Primary Collection,0,1,1,1,
